x,y,z,diam
1.161000061035156250e+02,1.050000000000000000e+02,4.500000000000000000e+00,5.000000000000000000e-01
1.171000061035156250e+02,1.056999969482421875e+02,4.000000000000000000e+00,1.700000047683715820e+00
1.255000000000000000e+02,1.066999969482421875e+02,6.000000000000000000e+00,3.000000119209289551e-01
1.293000030517578125e+02,1.085000000000000000e+02,6.500000000000000000e+00,1.000000000000000000e+00
1.311000061035156250e+02,1.106999969482421875e+02,7.500000000000000000e+00,1.000000000000000000e+00
1.328000030517578125e+02,1.130000000000000000e+02,7.500000000000000000e+00,5.000000000000000000e-01
1.343000030517578125e+02,1.160000000000000000e+02,1.030000019073486328e+01,5.000000000000000000e-01
1.345000000000000000e+02,1.180000000000000000e+02,1.300000000000000000e+01,5.000000000000000000e-01
1.355000000000000000e+02,1.196999969482421875e+02,1.369999980926513672e+01,3.000000119209289551e-01
1.381000061035156250e+02,1.213000030517578125e+02,1.530000019073486328e+01,3.000000119209289551e-01
1.393000030517578125e+02,1.225000000000000000e+02,1.569999980926513672e+01,5.000000000000000000e-01
1.408000030517578125e+02,1.236999969482421875e+02,1.670000076293945312e+01,3.000000119209289551e-01
1.438000030517578125e+02,1.243000030517578125e+02,1.970000076293945312e+01,1.000000000000000000e+00
1.451000061035156250e+02,1.250000000000000000e+02,2.170000076293945312e+01,3.000000119209289551e-01
1.501000061035156250e+02,1.240000000000000000e+02,2.500000000000000000e+01,3.000000119209289551e-01
1.528000030517578125e+02,1.236999969482421875e+02,2.670000076293945312e+01,3.000000119209289551e-01
1.543000030517578125e+02,1.245000000000000000e+02,2.770000076293945312e+01,5.000000000000000000e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.210000610351562500e+01,3.770000076293945312e+01,-1.370000076293945312e+01,1.700000047683715820e+00
7.330000305175781250e+01,3.900000000000000000e+01,-1.470000076293945312e+01,5.000000000000000000e-01
7.530000305175781250e+01,4.100000000000000000e+01,-1.829999923706054688e+01,1.000000000000000000e+00
7.830000305175781250e+01,4.350000000000000000e+01,-2.170000076293945312e+01,1.299999952316284180e+00
8.150000000000000000e+01,4.729999923706054688e+01,-2.450000000000000000e+01,1.299999952316284180e+00
8.230000305175781250e+01,5.029999923706054688e+01,-2.550000000000000000e+01,1.299999952316284180e+00
8.580000305175781250e+01,5.250000000000000000e+01,-2.900000000000000000e+01,5.000000000000000000e-01
9.250000000000000000e+01,5.850000000000000000e+01,-3.400000000000000000e+01,1.000000000000000000e+00
9.350000000000000000e+01,6.200000000000000000e+01,-3.450000000000000000e+01,3.000000119209289551e-01
9.630000305175781250e+01,6.250000000000000000e+01,-3.629999923706054688e+01,1.000000000000000000e+00
1.018000030517578125e+02,6.469999694824218750e+01,-4.000000000000000000e+01,5.000000000000000000e-01
1.041000061035156250e+02,6.830000305175781250e+01,-4.400000000000000000e+01,1.000000000000000000e+00
1.075000000000000000e+02,7.000000000000000000e+01,-4.800000000000000000e+01,5.000000000000000000e-01
1.121000061035156250e+02,7.269999694824218750e+01,-5.130000305175781250e+01,1.000000000000000000e+00
1.151000061035156250e+02,7.430000305175781250e+01,-5.450000000000000000e+01,1.000000000000000000e+00
1.138000030517578125e+02,7.650000000000000000e+01,-5.650000000000000000e+01,1.000000000000000000e+00
1.203000030517578125e+02,8.069999694824218750e+01,-5.950000000000000000e+01,3.000000119209289551e-01
1.228000030517578125e+02,8.350000000000000000e+01,-6.330000305175781250e+01,1.299999952316284180e+00
1.248000030517578125e+02,8.730000305175781250e+01,-6.730000305175781250e+01,5.000000000000000000e-01
1.278000030517578125e+02,9.200000000000000000e+01,-7.250000000000000000e+01,5.000000000000000000e-01
1.321000061035156250e+02,9.330000305175781250e+01,-7.330000305175781250e+01,5.000000000000000000e-01
1.378000030517578125e+02,9.350000000000000000e+01,-7.669999694824218750e+01,3.000000119209289551e-01
1.398000030517578125e+02,9.500000000000000000e+01,-7.669999694824218750e+01,5.000000000000000000e-01
1.431000061035156250e+02,9.769999694824218750e+01,-8.030000305175781250e+01,3.000000119209289551e-01
1.461000061035156250e+02,1.006999969482421875e+02,-8.650000000000000000e+01,3.000000119209289551e-01
1.463000030517578125e+02,1.016999969482421875e+02,-8.850000000000000000e+01,3.000000119209289551e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.950000381469726562e+01,6.999998092651367188e-01,5.000000000000000000e-01,3.500000000000000000e+00
3.030000305175781250e+01,-1.000000000000000000e+00,1.299999237060546875e+00,5.000000000000000000e-01
3.380000305175781250e+01,-1.699999809265136719e+00,2.999992370605468750e-01,1.500000000000000000e+00
3.810000228881835938e+01,-3.500000000000000000e+00,-1.500000000000000000e+00,2.299999952316284180e+00
4.210000228881835938e+01,-5.000000000000000000e+00,-2.700000762939453125e+00,1.700000047683715820e+00
4.510000228881835938e+01,-6.300000190734863281e+00,-4.700000762939453125e+00,1.000000000000000000e+00
4.730000305175781250e+01,-7.000000000000000000e+00,-6.000000000000000000e+00,2.299999952316284180e+00
4.930000305175781250e+01,-9.000000000000000000e+00,-8.299999237060546875e+00,2.299999952316284180e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.930000305175781250e+01,-9.000000000000000000e+00,-8.299999237060546875e+00,2.299999952316284180e+00
5.180000305175781250e+01,-8.300000190734863281e+00,-8.299999237060546875e+00,1.000000000000000000e+00
5.580000305175781250e+01,-7.000000000000000000e+00,-9.299999237060546875e+00,1.000000000000000000e+00
6.080000305175781250e+01,-6.699999809265136719e+00,-1.229999923706054688e+01,1.000000000000000000e+00
6.530000305175781250e+01,-6.000000000000000000e+00,-1.500000000000000000e+01,2.000000000000000000e+00
6.950000000000000000e+01,-5.500000000000000000e+00,-1.870000076293945312e+01,1.500000000000000000e+00
7.510000610351562500e+01,-4.300000190734863281e+00,-2.370000076293945312e+01,1.000000000000000000e+00
7.780000305175781250e+01,-3.000000000000000000e+00,-2.750000000000000000e+01,1.500000000000000000e+00
8.230000305175781250e+01,-1.500000000000000000e+00,-3.070000076293945312e+01,1.000000000000000000e+00
8.530000305175781250e+01,-5.000000000000000000e-01,-3.300000000000000000e+01,1.500000000000000000e+00
8.880000305175781250e+01,1.500000000000000000e+00,-3.529999923706054688e+01,2.000000000000000000e+00
9.330000305175781250e+01,3.699999809265136719e+00,-3.770000076293945312e+01,2.000000000000000000e+00
9.680000305175781250e+01,7.300000190734863281e+00,-4.000000000000000000e+01,5.000000000000000000e-01
1.013000030517578125e+02,1.029999923706054688e+01,-4.130000305175781250e+01,1.000000000000000000e+00
1.053000030517578125e+02,1.329999923706054688e+01,-4.450000000000000000e+01,5.000000000000000000e-01
1.088000030517578125e+02,1.670000076293945312e+01,-4.900000000000000000e+01,1.000000000000000000e+00
1.123000030517578125e+02,2.050000000000000000e+01,-5.469999694824218750e+01,1.000000000000000000e+00
1.081000061035156250e+02,2.529999923706054688e+01,-5.669999694824218750e+01,3.000000119209289551e-01
1.108000030517578125e+02,2.650000000000000000e+01,-5.869999694824218750e+01,1.000000000000000000e+00
1.148000030517578125e+02,2.970000076293945312e+01,-6.069999694824218750e+01,5.000000000000000000e-01
1.171000061035156250e+02,3.150000000000000000e+01,-6.250000000000000000e+01,5.000000000000000000e-01
1.205000000000000000e+02,3.429999923706054688e+01,-6.550000000000000000e+01,5.000000000000000000e-01
1.235000000000000000e+02,3.650000000000000000e+01,-7.069999694824218750e+01,1.000000000000000000e+00
1.248000030517578125e+02,3.850000000000000000e+01,-7.430000305175781250e+01,1.000000000000000000e+00
1.268000030517578125e+02,4.050000000000000000e+01,-7.750000000000000000e+01,1.000000000000000000e+00
1.275000000000000000e+02,4.500000000000000000e+01,-8.000000000000000000e+01,1.299999952316284180e+00
1.301000061035156250e+02,4.729999923706054688e+01,-8.430000305175781250e+01,1.000000000000000000e+00
1.315000000000000000e+02,5.029999923706054688e+01,-8.750000000000000000e+01,1.000000000000000000e+00
1.343000030517578125e+02,5.270000076293945312e+01,-9.069999694824218750e+01,1.000000000000000000e+00
1.388000030517578125e+02,5.470000076293945312e+01,-9.350000000000000000e+01,3.000000119209289551e-01
1.411000061035156250e+02,5.600000000000000000e+01,-9.450000000000000000e+01,1.000000000000000000e+00
1.463000030517578125e+02,5.670000076293945312e+01,-9.669999694824218750e+01,1.000000000000000000e+00
1.491000061035156250e+02,5.650000000000000000e+01,-9.830000305175781250e+01,3.000000119209289551e-01
1.533000030517578125e+02,5.629999923706054688e+01,-1.006999969482421875e+02,1.000000000000000000e+00
1.568000030517578125e+02,5.600000000000000000e+01,-1.026999969482421875e+02,1.000000000000000000e+00
1.618000030517578125e+02,5.570000076293945312e+01,-1.045000000000000000e+02,5.000000000000000000e-01
1.663000030517578125e+02,5.500000000000000000e+01,-1.063000030517578125e+02,1.000000000000000000e+00
1.708000030517578125e+02,5.550000000000000000e+01,-1.113000030517578125e+02,3.000000119209289551e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.930000305175781250e+01,-9.000000000000000000e+00,-8.299999237060546875e+00,2.299999952316284180e+00
5.030000305175781250e+01,-1.000000000000000000e+01,-9.299999237060546875e+00,2.000000000000000000e+00
5.010000228881835938e+01,-1.300000000000000000e+01,-1.229999923706054688e+01,1.500000000000000000e+00
5.080000305175781250e+01,-1.700000000000000000e+01,-1.470000076293945312e+01,1.500000000000000000e+00
5.230000305175781250e+01,-2.250000000000000000e+01,-1.750000000000000000e+01,1.500000000000000000e+00
5.330000305175781250e+01,-2.750000000000000000e+01,-1.929999923706054688e+01,1.000000000000000000e+00
5.530000305175781250e+01,-3.029999923706054688e+01,-2.170000076293945312e+01,1.500000000000000000e+00
5.630000305175781250e+01,-3.629999923706054688e+01,-2.370000076293945312e+01,1.000000000000000000e+00
5.750000381469726562e+01,-4.050000000000000000e+01,-2.529999923706054688e+01,3.000000119209289551e-01
5.850000381469726562e+01,-4.529999923706054688e+01,-2.570000076293945312e+01,1.000000000000000000e+00
6.130000305175781250e+01,-5.000000000000000000e+01,-2.800000000000000000e+01,1.000000000000000000e+00
6.450000000000000000e+01,-5.270000076293945312e+01,-2.850000000000000000e+01,5.000000000000000000e-01
6.730000305175781250e+01,-5.629999923706054688e+01,-2.950000000000000000e+01,1.000000000000000000e+00
6.950000000000000000e+01,-6.100000000000000000e+01,-3.170000076293945312e+01,5.000000000000000000e-01
7.210000610351562500e+01,-6.530000305175781250e+01,-3.250000000000000000e+01,1.299999952316284180e+00
7.680000305175781250e+01,-7.000000000000000000e+01,-3.400000000000000000e+01,1.299999952316284180e+00
8.010000610351562500e+01,-7.550000000000000000e+01,-3.570000076293945312e+01,1.000000000000000000e+00
8.050000000000000000e+01,-7.900000000000000000e+01,-3.850000000000000000e+01,5.000000000000000000e-01
8.250000000000000000e+01,-8.369999694824218750e+01,-4.000000000000000000e+01,1.500000000000000000e+00
8.410000610351562500e+01,-8.930000305175781250e+01,-4.300000000000000000e+01,1.000000000000000000e+00
8.850000000000000000e+01,-9.450000000000000000e+01,-4.769999694824218750e+01,1.000000000000000000e+00
9.030000305175781250e+01,-9.769999694824218750e+01,-5.130000305175781250e+01,5.000000000000000000e-01
9.310000610351562500e+01,-1.023000030517578125e+02,-5.600000000000000000e+01,1.000000000000000000e+00
9.280000305175781250e+01,-1.035000000000000000e+02,-5.800000000000000000e+01,5.000000000000000000e-01
9.580000305175781250e+01,-1.070000000000000000e+02,-5.950000000000000000e+01,3.000000119209289551e-01
1.001000061035156250e+02,-1.115000000000000000e+02,-6.100000000000000000e+01,5.000000000000000000e-01
1.028000030517578125e+02,-1.145000000000000000e+02,-6.300000000000000000e+01,5.000000000000000000e-01
1.061000061035156250e+02,-1.175000000000000000e+02,-6.469999694824218750e+01,5.000000000000000000e-01
1.075000000000000000e+02,-1.213000030517578125e+02,-6.669999694824218750e+01,5.000000000000000000e-01
1.105000000000000000e+02,-1.240000000000000000e+02,-6.850000000000000000e+01,3.000000119209289551e-01
1.163000030517578125e+02,-1.276999969482421875e+02,-7.000000000000000000e+01,5.000000000000000000e-01
1.175000000000000000e+02,-1.290000000000000000e+02,-6.950000000000000000e+01,5.000000000000000000e-01
1.205000000000000000e+02,-1.316999969482421875e+02,-6.950000000000000000e+01,5.000000000000000000e-01
1.268000030517578125e+02,-1.323000030517578125e+02,-7.100000000000000000e+01,3.000000119209289551e-01
1.298000030517578125e+02,-1.323000030517578125e+02,-7.169999694824218750e+01,5.000000000000000000e-01
1.365000000000000000e+02,-1.326999969482421875e+02,-7.230000305175781250e+01,5.000000000000000000e-01
1.423000030517578125e+02,-1.340000000000000000e+02,-7.250000000000000000e+01,5.000000000000000000e-01
1.445000000000000000e+02,-1.343000030517578125e+02,-7.300000000000000000e+01,5.000000000000000000e-01
1.495000000000000000e+02,-1.333000030517578125e+02,-7.250000000000000000e+01,5.000000000000000000e-01
1.545000000000000000e+02,-1.346999969482421875e+02,-7.169999694824218750e+01,3.000000119209289551e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.750000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.500000000000000000e+00
2.079999923706054688e+01,-2.600000143051147461e+00,1.300000190734863281e+00,2.500000000000000000e+00
2.250000000000000000e+01,-4.600000381469726562e+00,1.300000190734863281e+00,4.300000190734863281e+00
2.400000000000000000e+01,-7.300000190734863281e+00,2.699999809265136719e+00,4.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.400000000000000000e+01,-7.300000190734863281e+00,2.699999809265136719e+00,4.000000000000000000e+00
2.350000000000000000e+01,-7.800000190734863281e+00,2.699999809265136719e+00,2.700000047683715820e+00
2.300000000000000000e+01,-1.230000019073486328e+01,3.699999809265136719e+00,1.500000000000000000e+00
2.300000000000000000e+01,-1.480000019073486328e+01,5.300000190734863281e+00,1.700000047683715820e+00
2.420000076293945312e+01,-1.929999923706054688e+01,6.000000000000000000e+00,1.000000000000000000e+00
2.520000076293945312e+01,-2.279999923706054688e+01,6.500000000000000000e+00,1.000000000000000000e+00
2.700000000000000000e+01,-2.679999923706054688e+01,7.000000000000000000e+00,1.500000000000000000e+00
2.750000000000000000e+01,-2.779999923706054688e+01,7.300000190734863281e+00,1.700000047683715820e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.750000000000000000e+01,-2.779999923706054688e+01,7.300000190734863281e+00,1.700000047683715820e+00
2.700000000000000000e+01,-2.829999923706054688e+01,7.699999809265136719e+00,1.500000000000000000e+00
2.879999923706054688e+01,-3.129999923706054688e+01,5.000000000000000000e+00,1.000000000000000000e+00
3.050000000000000000e+01,-3.500000000000000000e+01,3.300000190734863281e+00,5.000000000000000000e-01
3.279999923706054688e+01,-3.729999923706054688e+01,1.300000190734863281e+00,1.000000000000000000e+00
3.300000000000000000e+01,-3.929999923706054688e+01,0.000000000000000000e+00,5.000000000000000000e-01
3.450000000000000000e+01,-4.279999923706054688e+01,-2.000000000000000000e+00,5.000000000000000000e-01
3.550000000000000000e+01,-4.779999923706054688e+01,-4.000000000000000000e+00,5.000000000000000000e-01
3.579999923706054688e+01,-5.029999923706054688e+01,-6.000000000000000000e+00,1.000000000000000000e+00
3.850000000000000000e+01,-5.679999923706054688e+01,-6.500000000000000000e+00,1.000000000000000000e+00
4.100000000000000000e+01,-6.029999923706054688e+01,-7.700000762939453125e+00,2.000000000000000000e+00
4.550000000000000000e+01,-6.399999618530273438e+01,-8.299999237060546875e+00,1.000000000000000000e+00
5.020000076293945312e+01,-6.600000000000000000e+01,-9.000000000000000000e+00,1.000000000000000000e+00
5.479999923706054688e+01,-7.060000610351562500e+01,-1.070000076293945312e+01,5.000000000000000000e-01
5.850000000000000000e+01,-7.380000305175781250e+01,-1.070000076293945312e+01,1.500000000000000000e+00
6.350000000000000000e+01,-7.880000305175781250e+01,-1.029999923706054688e+01,1.000000000000000000e+00
6.750000000000000000e+01,-8.560000610351562500e+01,-1.300000000000000000e+01,1.500000000000000000e+00
6.900000000000000000e+01,-8.960000610351562500e+01,-1.350000000000000000e+01,1.000000000000000000e+00
7.200000000000000000e+01,-9.400000000000000000e+01,-1.550000000000000000e+01,1.299999952316284180e+00
7.500000000000000000e+01,-9.800000000000000000e+01,-1.870000076293945312e+01,3.000000119209289551e-01
7.680000305175781250e+01,-1.030000000000000000e+02,-1.950000000000000000e+01,3.000000119209289551e-01
7.819999694824218750e+01,-1.050000000000000000e+02,-1.950000000000000000e+01,1.500000000000000000e+00
8.119999694824218750e+01,-1.103000030517578125e+02,-1.950000000000000000e+01,1.299999952316284180e+00
8.500000000000000000e+01,-1.150000000000000000e+02,-2.000000000000000000e+01,1.000000000000000000e+00
8.800000000000000000e+01,-1.208000030517578125e+02,-2.150000000000000000e+01,3.000000119209289551e-01
9.050000000000000000e+01,-1.263000030517578125e+02,-2.329999923706054688e+01,5.000000000000000000e-01
9.300000000000000000e+01,-1.326000061035156250e+02,-2.429999923706054688e+01,5.000000000000000000e-01
9.650000000000000000e+01,-1.366000061035156250e+02,-2.600000000000000000e+01,3.000000119209289551e-01
9.900000000000000000e+01,-1.416000061035156250e+02,-2.750000000000000000e+01,5.000000000000000000e-01
1.000000000000000000e+02,-1.433000030517578125e+02,-2.850000000000000000e+01,5.000000000000000000e-01
1.000000000000000000e+02,-1.473000030517578125e+02,-2.950000000000000000e+01,1.000000000000000000e+00
1.048000030517578125e+02,-1.526000061035156250e+02,-3.150000000000000000e+01,1.000000000000000000e+00
1.091999969482421875e+02,-1.590000000000000000e+02,-3.250000000000000000e+01,3.000000119209289551e-01
1.118000030517578125e+02,-1.656000061035156250e+02,-3.500000000000000000e+01,3.000000119209289551e-01
1.145000000000000000e+02,-1.696000061035156250e+02,-3.750000000000000000e+01,3.000000119209289551e-01
1.168000030517578125e+02,-1.758000030517578125e+02,-3.950000000000000000e+01,3.000000119209289551e-01
1.200000000000000000e+02,-1.800000000000000000e+02,-4.350000000000000000e+01,3.000000119209289551e-01
1.241999969482421875e+02,-1.838000030517578125e+02,-4.629999923706054688e+01,3.000000119209289551e-01
1.271999969482421875e+02,-1.860000000000000000e+02,-4.600000000000000000e+01,5.000000000000000000e-01
1.265000000000000000e+02,-1.883000030517578125e+02,-4.600000000000000000e+01,3.000000119209289551e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.750000000000000000e+01,-2.779999923706054688e+01,7.300000190734863281e+00,1.700000047683715820e+00
2.820000076293945312e+01,-2.879999923706054688e+01,8.000000000000000000e+00,1.299999952316284180e+00
3.100000000000000000e+01,-3.179999923706054688e+01,9.500000000000000000e+00,1.000000000000000000e+00
3.250000000000000000e+01,-3.429999923706054688e+01,1.269999980926513672e+01,1.000000000000000000e+00
3.520000076293945312e+01,-3.829999923706054688e+01,1.530000019073486328e+01,1.299999952316284180e+00
3.600000000000000000e+01,-4.129999923706054688e+01,1.800000000000000000e+01,5.000000000000000000e-01
3.600000000000000000e+01,-4.429999923706054688e+01,1.950000000000000000e+01,5.000000000000000000e-01
